1-16rin1.dat	~Ring  1 x 0.0625 (Obsolete)
1-16rin2.dat	~Ring  2 x 0.0625 (Obsolete)
1-16rin3.dat	~Ring  3 x 0.0625 (Obsolete)
1-16rin4.dat	~Ring  4 x 0.0625 (Obsolete)
1-16ring1.dat	Ring  1 x 0.0625
1-16ring11.dat	Ring 11 x 0.0625
1-16ring18.dat	Ring 18 x 0.0625
1-16ring19.dat	Ring 19 x 0.0625
1-16ring2.dat	Ring  2 x 0.0625
1-16ring3.dat	Ring  3 x 0.0625
1-16ring4.dat	Ring  4 x 0.0625
1-16ring6.dat	Ring  6 x 0.0625
1-16ring8.dat	Ring  8 x 0.0625
1-16ring9.dat	Ring  9 x 0.0625
1-16stud4.dat	Stud Tube Open 0.0625
1-16tang.dat	Disc Negative Tangent 0.0625
1-16tndis.dat	Disc Negative Truncated 0.0625
1-4ccyli.dat	~Cylinder Tube 0.25 (deprecated; use t04q4000.dat)
1-4chrd.dat	Chord 0.25
1-4chrde.dat	Chord with Edges 0.25
1-4con0.dat	Cone  0 x 0.25
1-4con1.dat	Cone  1 x 0.25
1-4con10.dat	Cone 10 x 0.25
1-4con11.dat	Cone 11 x 0.25
1-4con12.dat	Cone 12 x 0.25
1-4con13.dat	Cone 13 x 0.25
1-4con14.dat	Cone 14 x 0.25
1-4con15.dat	Cone 15 x 0.25
1-4con16.dat	Cone 16 x 0.25
1-4con17.dat	Cone 17 x 0.25
1-4con18.dat	Cone 18 x 0.25
1-4con19.dat	Cone 19 x 0.25
1-4con2.dat	Cone  2 x 0.25
1-4con23.dat	Cone 23 x 0.25
1-4con24.dat	Cone 24 x 0.25
1-4con25.dat	Cone 25 x 0.25
1-4con27.dat	Cone 27 x 0.25
1-4con28.dat	Cone 28 x 0.25
1-4con29.dat	Cone 29 x 0.25
1-4con3.dat	Cone  3 x 0.25
1-4con31.dat	Cone 31 x 0.25
1-4con35.dat	Cone 35 x 0.25
1-4con4.dat	Cone  4 x 0.25
1-4con40.dat	Cone 40 x 0.25
1-4con43.dat	Cone 43 x 0.25
1-4con5.dat	Cone  5 x 0.25
1-4con6.dat	Cone  6 x 0.25
1-4con7.dat	Cone  7 x 0.25
1-4con8.dat	Cone  8 x 0.25
1-4con9.dat	Cone  9 x 0.25
1-4cylc.dat	Cylinder Closed 0.25
1-4cylc2.dat	Cylinder Closed  0.25 without Edges and Conditional Lines
1-4cylc3.dat	Cylinder Closed 0.25 without Top or Bottom Edge Lines
1-4cylh.dat	Cylinder Helical 0.25
1-4cyli.dat	Cylinder 0.25
1-4cyli2.dat	Cylinder 0.25 without Conditional Lines
1-4cylj2_1x2.dat	Cylinder Joint  1 to  2 Inverted 0.25
1-4cylo.dat	Cylinder Open 0.25
1-4cyls.dat	Cylinder Sloped 0.25
1-4cyls2.dat	Cylinder Sloped 0.25 Convex
1-4cylse.dat	Cylinder Sloped 0.25 with Edge
1-4disc.dat	Disc 0.25
1-4edge.dat	Circle 0.25
1-4edgh.dat	Cylinder Helical Edge 0.25
1-4ering.dat	Adapter Ring Triangles to Normal 0.25
1-4ndis.dat	Disc Negative 0.25
1-4rin10.dat	~Ring 10 x 0.25 (Obsolete)
1-4rin11.dat	~Ring 11 x 0.25 (Obsolete)
1-4rin12.dat	~Ring 12 x 0.25 (Obsolete)
1-4rin13.dat	~Ring 13 x 0.25 (Obsolete)
1-4rin14.dat	~Ring 14 x 0.25 (Obsolete)
1-4rin15.dat	~Ring 15 x 0.25 (Obsolete)
1-4rin16.dat	~Ring 16 x 0.25 (Obsolete)
1-4rin17.dat	~Ring 17 x 0.25 (Obsolete)
1-4rin18.dat	~Ring 18 x 0.25 (Obsolete)
1-4rin19.dat	~Ring 19 x 0.25 (Obsolete)
1-4rin20.dat	~Ring 20 x 0.25 (Obsolete)
1-4rin23.dat	~Ring 23 x 0.25 (Obsolete)
1-4rin24.dat	~Ring 24 x 0.25 (Obsolete)
1-4rin28.dat	~Ring 28 x 0.25 (Obsolete)
1-4rin34.dat	~Ring 34 x 0.25 (Obsolete)
1-4rin38.dat	~Ring 38 x 0.25 (Obsolete)
1-4rin39.dat	~Ring 39 x 0.25 (Obsolete)
1-4rin48.dat	~Ring 48 x 0.25 (Obsolete)
1-4rin49.dat	~Ring 49 x 0.25 (Obsolete)
1-4rin50.dat	~Ring 50 x 0.25 (Obsolete)
1-4ring1.dat	Ring  1 x 0.25
1-4ring10.dat	Ring 10 x 0.25
1-4ring11.dat	Ring 11 x 0.25
1-4ring12.dat	Ring 12 x 0.25
1-4ring13.dat	Ring 13 x 0.25
1-4ring14.dat	Ring 14 x 0.25
1-4ring15.dat	Ring 15 x 0.25
1-4ring16.dat	Ring 16 x 0.25
1-4ring17.dat	Ring 17 x 0.25
1-4ring18.dat	Ring 18 x 0.25
1-4ring19.dat	Ring 19 x 0.25
